position,orientation,success
"[np.float64(-0.015051796587814003), np.float64(0.008793681908416154), 0.17493276610867836]","(0.9395403279490542, 0.33630601162699464, -0.02428830387361865, 0.059768863096685845)",False
"[np.float64(0.025701175650388236), np.float64(-0.01483035697161675), 0.20670344123379514]","(0.9085510927083076, 0.4167638775366846, 0.029030582544427246, -8.715651961068058e-05)",False
"[np.float64(0.017763607888575606), np.float64(-0.02780757728188741), 0.19726408985836444]","(-0.11405384221309602, -0.9892892086170255, 0.08721260619995903, 0.026316232825777792)",False
"[np.float64(0.018023700603985563), np.float64(-0.01371207714331725), 0.18110697045555213]","(0.904845628860591, 0.4233903935052551, 0.035351086045986885, -0.027299511620472002)",False
"[np.float64(-0.017494219576897174), np.float64(0.010575206860659155), 0.22370947918701864]","(0.8616056339115787, 0.5074080489639479, 0.01310197229039048, -0.0010685413086317314)",True
"[np.float64(0.03896226210279706), np.float64(0.02080275040220824), 0.18844499299221376]","(-0.6710390652328572, 0.7324202829019015, 0.07368634425652644, 0.08852923130481025)",False
"[np.float64(-0.034079310426889074), np.float64(-0.020692741025721537), 0.2512024197193917]","(0.91873448078847, 0.39354210195460415, -0.018157577063957202, -0.026867642149228772)",False
"[np.float64(0.002218740390748622), np.float64(0.02871037645463486), 0.1853213886189638]","(0.5099422799202645, 0.8589662359981372, 0.003704748183474726, -0.046066814582868036)",True
"[np.float64(0.023214271498720164), np.float64(-0.03084202289797682), 0.20315802521906548]","(-0.7364666830904276, -0.6763667758547849, -0.009508338417423956, 0.0073756842480470625)",True
"[np.float64(0.045326970996960245), np.float64(0.020806414954494184), 0.20779747165377022]","(0.9840251167709628, -0.1447725407950129, 0.010226680979135542, -0.10310623643505024)",False
"[np.float64(-0.04696982359511653), np.float64(-0.005773071640131293), 0.2294545301496184]","(0.9696154775198375, 0.226967132207733, 0.0002762818445396706, -0.09127798376233671)",False
"[np.float64(-0.001502691188309796), np.float64(-0.009722414988992605), 0.20089635937878778]","(0.1451428228834715, 0.9879049386598225, -0.04493764940848644, 0.030951588046326084)",True
"[np.float64(0.013621448559621215), np.float64(0.021031206509870806), 0.1902013751037652]","(0.7500231528466901, -0.6489689940481685, 0.11928730207558182, 0.045552766343526264)",False
"[np.float64(-0.019749387327574378), np.float64(-0.0015797240975552818), 0.20416525908162453]","(-0.5237278500591509, 0.8480000327808859, 0.026654586287907883, 0.07677640591911478)",True
"[np.float64(0.006617425746316039), np.float64(0.01703051463389379), 0.16668989209782803]","(0.05169046890556051, 0.9862480118442203, 0.15275295963297397, -0.036186846795667284)",False
"[np.float64(0.03359211979244987), np.float64(0.008835575142110301), 0.2198411672860111]","(0.9019647760834695, -0.4233629735192803, 0.017921097845661718, 0.08307929711797164)",True
"[np.float64(0.01731557219148476), np.float64(-0.025098580726032202), 0.18943901842344357]","(0.03305303923334375, 0.9979399887267693, -0.04198180049164895, 0.03550780090253828)",True
"[np.float64(-0.008545220168541694), np.float64(0.010260304372960556), 0.185754453813355]","(-0.11498640052399235, 0.9916544815975327, -0.04870323013236222, -0.03205483109827623)",True
"[np.float64(-0.04873998247593866), np.float64(-0.015996787175708523), 0.17694448656520567]","(0.40467584006325863, -0.9111424641114834, 0.06980836733841246, 0.034404453367195185)",True
"[np.float64(0.05315795498023117), np.float64(0.051117797534566835), 0.2087865569514654]","(0.3370342609161338, -0.9340909378263433, -0.10528130539512673, -0.05289492956528194)",False
"[np.float64(0.03740477576467957), np.float64(-0.01861436269966104), 0.1913553677055926]","(-0.4394975710030005, -0.8980410393012357, 0.01285847104390577, 0.014100940948466005)",False
"[np.float64(0.011849179817710305), np.float64(0.0193282999635501), 0.18159370002209613]","(0.7887015832348595, -0.610564638967212, -0.06564461367587565, 0.029179083964530065)",True
"[np.float64(0.025779748525267134), np.float64(0.018225618375695724), 0.1665493623393089]","(0.9960174779093772, -0.05624736458881629, 0.027859029962990466, 0.06331897129121145)",False
"[np.float64(-0.01770839314011116), np.float64(0.011708363760448428), 0.18838655847082264]","(-0.9987371064840724, -0.04120039988380915, -0.027165729092583153, 0.00942031549923641)",True
"[np.float64(-0.03770420271669367), np.float64(0.0011237074589464224), 0.24099939473693796]","(0.34161475768165384, -0.9378825707387662, -0.028188037856380542, 0.053675649603478)",False
"[np.float64(0.0002849062117726238), np.float64(0.010358110792773925), 0.20619793066832398]","(0.963311054910008, 0.26497904786074356, 0.04242222044476282, -0.004274446808343988)",False
"[np.float64(0.0012687735491802887), np.float64(-0.030692534383837834), 0.20729900670216853]","(0.49674429147145976, -0.8668883464746479, -0.038564137045552206, -0.01620219031181781)",True
"[np.float64(-0.01812870279115288), np.float64(-0.0028598460238013343), 0.22721670114800147]","(0.9816330407125875, -0.18352653317769083, -0.035709917282371974, 0.037939251558560365)",False
"[np.float64(0.01681895551382897), np.float64(0.00010691899749227336), 0.16801319105811985]","(0.12482302468086276, -0.9917562386357698, -0.022317766896363285, 0.018457868709857963)",True
"[np.float64(-0.004220537688476737), np.float64(0.008037669347988967), 0.23387124126267644]","(0.5094076052004224, -0.8595756368509319, 0.01713448970468262, 0.03660635954100973)",False
"[np.float64(0.006415005498852306), np.float64(-0.0015772727116497413), 0.17042008687512955]","(-0.6837714837600815, 0.7279293379039841, -0.012833184687248832, -0.049099352195186255)",True
"[np.float64(0.024043043872694785), np.float64(0.02300120251040175), 0.19562598658035668]","(0.6782587927760438, 0.7318872016832423, -0.060776357822293105, -0.024746077752107683)",True
"[np.float64(0.02225103500269987), np.float64(0.0431622643944245), 0.18950004996084494]","(0.9916670777958956, -0.1091432361966387, 0.030902912128225213, 0.06106693729235959)",False
"[np.float64(-0.013720599760830596), np.float64(0.01649693224532613), 0.233763330673438]","(0.9357581031555328, 0.3043185045369911, 0.17330986736083953, -0.041360730778080626)",False
"[np.float64(-0.0032189794863908276), np.float64(-0.02448850069039629), 0.17085231090328015]","(-0.9571919619254874, 0.2561223405440683, -0.060644698258655594, 0.12044548672566079)",False
"[np.float64(-0.006533577158860832), np.float64(-0.009366078708968223), 0.2155159253243051]","(0.16706584508268063, -0.9849103351716277, 0.044690760045786024, -0.006585669704118312)",True
"[np.float64(0.05063740552211856), np.float64(-0.0242717296743902), 0.2202337056022658]","(-0.7507261718056404, -0.6603423158672118, 0.018779213286890598, -0.002362623436174709)",False
"[np.float64(-0.028713684661315523), np.float64(0.016091591409608582), 0.19305646312680913]","(-0.7225780601324084, -0.6857846173653129, -0.07689049845772858, -0.04084430005911584)",False
"[np.float64(0.010745323757634057), np.float64(0.023029263418348097), 0.201357516919918]","(0.9166516144202171, -0.3896927830214549, -0.029650849675461565, -0.08372681622590286)",False
"[np.float64(0.01466716986454798), np.float64(0.01198294154354256), 0.18865175549872149]","(0.32469337804121823, -0.945505596064408, -0.02406588697939797, 0.003769768025488923)",True
"[np.float64(-0.023821510128229292), np.float64(-0.030871350479473186), 0.19069999928189346]","(0.03957416517597761, -0.9986991502007168, -0.03201676450259117, -0.002969786149896871)",False
"[np.float64(0.01809822390219434), np.float64(0.012714615051438245), 0.196652397853216]","(-0.9827650075555283, 0.1799997646820191, 0.039487238920609034, -0.014621306413143256)",False
"[np.float64(-0.038042194167279844), np.float64(0.002125963189921687), 0.197326184020662]","(-0.08816344602895748, -0.9933420132469449, -0.059602414762848686, -0.04411806497618542)",True
"[np.float64(-0.05790624798989811), np.float64(-0.0012535361138742568), 0.20010730477540217]","(0.7683198084058726, -0.639327932016316, -0.010114512094503404, -0.029020062026026354)",False
"[np.float64(0.030484112565418664), np.float64(0.01999607355533178), 0.2193227079511839]","(-0.9589958892425761, -0.2815754298449962, 0.024573820995731344, -0.020935353952496526)",False
"[np.float64(0.00678695367715423), np.float64(-0.010167979130512357), 0.2068358180213511]","(0.9492716418593159, -0.3129610675347063, 0.03032153205458106, -0.004396005359296615)",True
"[np.float64(0.0036007797749510136), np.float64(-0.00678076724524747), 0.18393421291387255]","(0.5763963587003824, -0.8169488427830705, 0.01800206886205751, -0.006144222410346131)",False
"[np.float64(-0.029196740928190225), np.float64(0.009697731047670492), 0.19573715798725647]","(-0.7964939487738418, -0.603512197934625, -0.03477875899175306, 0.012682840130053538)",False
"[np.float64(0.00657988158509803), np.float64(0.013535036922643752), 0.2261483820675193]","(-0.5737159822325553, 0.8183809037077622, 0.028485201421095355, 0.017066384426718203)",False
"[np.float64(0.00691188220424594), np.float64(-0.01420470311360358), 0.20432299882363114]","(-0.9930253902270947, -0.1151652328516766, 0.007587981248169768, -0.024082484239026477)",True
"[np.float64(-0.010182225831652998), np.float64(-0.02777594890915802), 0.19389599659019113]","(0.7649382259548725, 0.6263404516022967, 0.12287294034589887, 0.08642563098061132)",False
"[np.float64(-0.017914463781349962), np.float64(0.03790209253480483), 0.17628748392810248]","(0.738826328806635, -0.6698747673022859, -0.05714632084779808, -0.04623580871336551)",True
"[np.float64(0.008381126427824575), np.float64(-0.0012116886468022709), 0.19459974504874547]","(0.8093335418002148, 0.5854615585863708, -0.041191351955834614, -0.022743220061991247)",True
"[np.float64(0.011023512404601015), np.float64(-0.0029298543528979482), 0.17583739353803612]","(-0.2424333130615131, -0.9692014108632092, -0.04006627636526593, 0.016413634484947294)",False
